"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Lair1"	2.7046910983432e-161	0.583635078960676	0.59	0.272	3.40358327815508e-157
"Ptpn18"	5.59939753542377e-159	0.553087070788537	0.898	0.68	7.04628185857727e-155
"Sqstm1"	7.59797220741458e-158	-0.807593235281876	0.831	0.946	9.56128822581051e-154
"Arpc1b"	1.09358733076059e-157	0.477717829055261	0.999	0.992	1.37617029702913e-153
"Gusb"	4.60052106029427e-156	0.550111215633691	0.528	0.225	5.78929570227431e-152
"Ckb"	2.33026221642581e-155	0.881453281469054	0.648	0.346	2.93240197315024e-151
"Ero1l"	5.28596676021528e-155	-0.927930000210251	0.389	0.65	6.65186057105491e-151
"Lyz2"	7.14134090228083e-155	0.924622133446451	0.995	0.977	8.9866633914302e-151
"Cd38"	1.14221207511224e-154	-0.824507101111192	0.243	0.474	1.43735967532124e-150
"Atp6v0c"	1.37090836264691e-152	-0.442358024640512	0.999	1	1.72515108355487e-148
"Anxa3"	2.22758372872761e-152	0.619945580341595	0.688	0.391	2.80319136423082e-148
"Ywhah"	5.95855644640782e-149	0.643547989864739	0.902	0.746	7.4982474321596e-145
"Rnase4"	8.98724825025963e-149	0.607235691171807	0.577	0.273	1.13095531981267e-144
"Ch25h"	1.97280806244601e-148	0.96142125902826	0.338	0.081	2.48258166578206e-144
"Ap3s1"	4.85239274026381e-148	-0.599937115379948	0.466	0.693	6.10625102434798e-144
"Gm15056"	9.26468906712969e-148	-1.34234896350468	0.038	0.237	1.1658684722076e-143
"Cd81"	9.89093195696247e-148	0.824422653443768	0.725	0.466	1.24467487746416e-143
"Ssh2"	1.27709242026497e-147	0.516812816161874	0.479	0.186	1.60709310166144e-143
"H2-Q4"	5.89792717197108e-147	-0.630188959162866	0.846	0.934	7.42195155320841e-143
"Bhlhe40"	8.32501343842391e-147	-0.719350177190603	0.193	0.467	1.04761969109126e-142
"Clec4d"	6.71577013909071e-145	-0.634817714224862	0.747	0.921	8.45112514303175e-141
"Npc2"	1.17789839072645e-144	-0.516226556997298	1	0.999	1.48226733489017e-140
"Selenop"	1.52017130701812e-143	0.774971463819781	0.755	0.482	1.91298357275161e-139
"Gpx1"	1.04524757681936e-142	0.822022233413026	0.999	0.983	1.31533955066948e-138
"Ccl2"	3.59841016184533e-142	1.37516836432256	0.675	0.382	4.52823934766617e-138
"Litaf"	1.24482331949669e-141	-0.608130667389731	0.868	0.952	1.56648566525463e-137
"Alox5ap"	1.08653749602612e-140	0.582955514931765	0.994	0.94	1.36729878499927e-136
"Rpl10a"	2.36431271843103e-138	0.466859088544414	0.988	0.867	2.97525112487361e-134
"Phospho1"	2.57263033928884e-138	-0.454710201798033	0.098	0.324	3.23739801896108e-134
"Ly6i"	1.89180995583071e-137	-1.05169383217311	0.138	0.365	2.38065364841737e-133
"Nr4a1"	1.13681975774717e-135	1.00552506551672	0.586	0.323	1.43057398314904e-131
"C5ar1"	2.42403989357264e-135	0.621887113011875	0.781	0.535	3.05041180207182e-131
"Gsn"	3.53127745090442e-135	0.547221626191362	0.917	0.755	4.44375954421812e-131
"Aldoa"	5.75267828198817e-135	-0.51857323244864	0.999	0.998	7.23917035005391e-131
"Sec61b"	1.12251925607105e-134	0.541947960756271	0.905	0.739	1.41257823183981e-130
"Cyth4"	1.43445228403074e-134	0.525627814527977	0.725	0.456	1.80511475422428e-130
"Bst1"	3.07648798241091e-133	-0.653627865321833	0.557	0.715	3.87145247706589e-129
"Sdcbp"	4.63765576540554e-133	-0.497340389586086	0.938	0.974	5.83602601518633e-129
"Rnf149"	5.10268289881934e-133	-0.654607154409397	0.547	0.731	6.42121615987426e-129
"Ifi30"	1.44557236149992e-132	0.645883970396326	0.884	0.693	1.8191082597115e-128
"Lrrfip2"	6.13252459267769e-132	-0.518573083160177	0.37	0.604	7.71716894742561e-128
"Atp6v1c1"	1.33155147991354e-131	-0.551145968046707	0.396	0.594	1.6756243823232e-127
"Pgam1"	2.00267673633618e-130	-0.467534882253899	0.977	0.99	2.52016840500544e-126
"Lgmn"	5.40042105037845e-130	0.699986185163059	0.947	0.8	6.79588984979625e-126
"Slc3a2"	3.53123900672924e-128	-0.554194716958086	0.662	0.807	4.44371116606807e-124
"Nme2"	1.41588717187317e-126	0.51804147351302	0.964	0.871	1.7817524170852e-122
"Klf2"	1.03718330122242e-125	0.944642190023009	0.695	0.439	1.3051914662583e-121
"Hmga1"	2.29354143256457e-124	-0.539227707113275	0.609	0.792	2.88619253873926e-120
"Cd24a"	4.09893322481786e-124	-0.769387163922972	0.131	0.361	5.1580975701108e-120
"Atp5g1"	9.64935197465351e-124	0.535409796109822	0.865	0.7	1.2142744524904e-119
"Ctsz"	2.18374435021875e-123	-0.439171611826151	0.989	0.992	2.74802389031528e-119
"Fabp5"	3.21469698435918e-123	-1.29158898469543	0.262	0.519	4.04537468511759e-119
"Nme1"	1.20556975646998e-122	0.512412173166543	0.728	0.494	1.51708898154182e-118
